식품명,식품기원명,대표식품코드,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처명,식품중량,업체명,데이터생성일자,데이터기준일자
피자_쉬림드보니토피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,235,,15.56,,,,3.11,,,,,,602,,,,,,,,,,5.41,,식품의약품안전처,1080g,비토랩,2022-10-30,2023-08-31
피자_쉬림드보니토피자 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,236,,15.63,,,,3.13,,,,,,604,,,,,,,,,,5.47,,식품의약품안전처,770g(,비토랩,2022-10-30,2023-08-31
피자_쉬림프&핫치킨골드피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,235,,13.91,,,,1.74,,,,,,470,,,,,,,,,,4.35,,식품의약품안전처,1380g,피자알볼로,2022-10-30,2023-08-31
피자_쉬림프갈릭스노윙피자,외식(프랜차이즈 등 업체 제공 영양정,2120,100g,244,,14.18,,,,3.88,,,,,,294,,,,,,,,,,4.17,,식품의약품안전처,928g(,유로코피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,259,,12.45,,,,9.36,,,,,,506,,,,,,,,,,5.93,,식품의약품안전처,1080g,네오피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,231,,11.86,,,,5.08,,,,,,442,,,,,,,,,,4.24,,식품의약품안전처,1181g,미스터피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,291,,14.57,,,,4.32,,,,,,648,,,,,,,,,,4.19,,식품의약품안전처,912g(,피굽남피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 밀스크린 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,247,,12.98,,,,2.29,,,,,,444,,,,,,,,,,4.66,,식품의약품안전처,1048g,지정환피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 밀스크린 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,290,,17.71,,,,3.13,,,,,,535,,,,,,,,,,6.35,,식품의약품안전처,576g(,지정환피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 백미스크린 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,243,,12.6,,,,4.72,,,,,,433,,,,,,,,,,4.72,,식품의약품안전처,1016g,지정환피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 백미스크린 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,287,,17.2,,,,5.38,,,,,,531,,,,,,,,,,6.56,,식품의약품안전처,558g(,지정환피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 씬 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,250,,13.73,,,,2.94,,,,,,371,,,,,,,,,,6.86,,식품의약품안전처,816g(,지정환피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 씬 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,306,,18.99,,,,3.8,,,,,,489,,,,,,,,,,8.73,,식품의약품안전처,474g(,지정환피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 흑미스크린 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,239,,12.6,,,,3.94,,,,,,390,,,,,,,,,,4.8,,식품의약품안전처,1016g,지정환피자,2022-10-30,2023-08-31
피자_쉬림프골드피자 흑미스크린 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,281,,17.02,,,,4.26,,,,,,485,,,,,,,,,,6.49,,식품의약품안전처,564g(,지정환피자,2022-10-30,2023-08-31
피자_쉬림프골드피자,외식(프랜차이즈 등 업체 제공 영양정,2120,100g,279,,11.34,,,,3.09,,,,,,442,,,,,,,,,,3.55,,식품의약품안전처,1088g,피자와치킨의러브레터,2022-10-30,2023-08-31
피자_쉬림프디럭스피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,227,,10.87,,,,5.07,,,,,,378,,,,,,,,,,2.75,,식품의약품안전처,1106g,피자헤븐,2022-10-30,2023-08-31
피자_쉬림프콤비피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,214,,11.52,,,,4.43,,,,,,430,,,,,,,,,,2.48,,식품의약품안전처,765g(,킹스타피자,2022-10-30,2023-08-31
피자_쉬림프콤비피자 (M),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,205,,11.2,,,,4.73,,,,,,396,,,,,,,,,,2.43,,식품의약품안전처,569g(,킹스타피자,2022-10-30,2023-08-31
피자_쉬림프피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,224,,13.98,,,,9.25,,,,,,490,,,,,,,,,,3,,식품의약품안전처,944g(,네오피자,2022-10-30,2023-08-31
피자_쉬림프피자 (XL),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,368,,25,,,,5.3,,,,,,470,,,,,,,,,,8.2,,식품의약품안전처,1100g,봉수아피자,2022-10-30,2023-08-31
피자_쉬림프피자 골드 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,229,,12.3,,,,5.35,,,,,,403,,,,,,,,,,4.81,,식품의약품안전처,749g(,미스터피자,2022-10-30,2023-08-31
피자_쉬림프피자 에그타르트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,238,,11.02,,,,6.78,,,,,,396,,,,,,,,,,5.08,,식품의약품안전처,1181g,미스터피자,2022-10-30,2023-08-31
피자_쉬림프피자 에그타르트 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,236,,11.23,,,,7.49,,,,,,356,,,,,,,,,,4.81,,식품의약품안전처,749g(,미스터피자,2022-10-30,2023-08-31
피자_쉬림프피자 오리진 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,226,,11.76,,,,4.9,,,,,,449,,,,,,,,,,3.92,,식품의약품안전처,1017g,미스터피자,2022-10-30,2023-08-31
피자_쉬림프피자 오리진 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,225,,12.5,,,,5,,,,,,406,,,,,,,,,,3.75,,식품의약품안전처,640g(,미스터피자,2022-10-30,2023-08-31
피자_쉬림프피자 치즈캡 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,232,,13.16,,,,4.39,,,,,,474,,,,,,,,,,4.39,,식품의약품안전처,1140g,미스터피자,2022-10-30,2023-08-31
피자_쉬림프피자 치즈캡 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,230,,14.13,,,,4.35,,,,,,441,,,,,,,,,,4.89,,식품의약품안전처,736g(,미스터피자,2022-10-30,2023-08-31
피자_쉬림프피자 크림치즈 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,232,,10.57,,,,5.69,,,,,,409,,,,,,,,,,4.88,,식품의약품안전처,1226g,미스터피자,2022-10-30,2023-08-31
피자_쉬림프피자 크림치즈 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,231,,11.34,,,,6.19,,,,,,373,,,,,,,,,,5.15,,식품의약품안전처,777g(,미스터피자,2022-10-30,2023-08-31
피자_슈퍼디럭스 나폴리 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,235,,11.21,,,,2.71,,,,,,335,,,,,,,,,,4.67,,식품의약품안전처,856g(,도미노피자,2022-10-30,2023-08-31
피자_슈퍼디럭스 슈퍼시드함유도우 (M),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,228,,10.46,,,,3.92,,,,,,406,,,,,,,,,,3.92,,식품의약품안전처,610g(,도미노피자,2022-10-30,2023-08-31
피자_슈퍼디럭스 씬 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,242,,12.9,,,,2.15,,,,,,372,,,,,,,,,,6.45,,식품의약품안전처,744g(,도미노피자,2022-10-30,2023-08-31
피자_슈퍼슈프림 나폴리 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,200,,11.38,,,,3.25,,,,,,319,,,,,,,,,,4.07,,식품의약품안전처,983g(,도미노피자,2022-10-30,2023-08-31
피자_슈퍼슈프림 슈퍼시드함유도우 (M),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,226,,10.3,,,,6.06,,,,,,381,,,,,,,,,,3.03,,식품의약품안전처,660g(,도미노피자,2022-10-30,2023-08-31
피자_슈퍼슈프림더블치즈엣지 오리지널 (M),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,224,,12.44,,,,2.59,,,,,,304,,,,,,,,,,4.66,,식품의약품안전처,773g(,도미노피자,2022-10-30,2023-08-31
피자_슈퍼슈프림치즈크러스트 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,237,,11.7,,,,2.13,,,,,,410,,,,,,,,,,3.4,,식품의약품안전처,564g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,266,,15.15,,,,2.13,,,,,,354,,,,,,,,,,5.06,,식품의약품안전처,882g(,청년피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,324,,7.17,,,,3.7,,,,,,425,,,,,,,,,,1.61,,식품의약품안전처,738g(,피자애,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,263,,12.69,,,,5.22,,,,,,322,,,,,,,,,,3.66,,식품의약품안전처,1074g,피자헤븐,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,266,,12.26,,,,5.33,,,,,,389,,,,,,,,,,5,,식품의약품안전처,900g(,피제이피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 고구마크러스트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,245,,11.57,,,,4.13,,,,,,370,,,,,,,,,,3.55,,식품의약품안전처,968g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 고구마크러스트 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,243,,10.87,,,,4.35,,,,,,366,,,,,,,,,,3.37,,식품의약품안전처,552g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 라이스골드 (F),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,257,,16.24,,,,3.34,,,,,,171,,,,,,,,,,4.23,,식품의약품안전처,1633g,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 라이스골드 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,273,,15.96,,,,2.43,,,,,,167,,,,,,,,,,4.86,,식품의약품안전처,1242g,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 라이스골드 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,278,,16.35,,,,2.37,,,,,,161,,,,,,,,,,4.81,,식품의약품안전처,702g(,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 라이스바이트 (F),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,264,,15.06,,,,2.67,,,,,,217,,,,,,,,,,3.9,,식품의약품안전처,1715g,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 라이스바이트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,275,,15.58,,,,3.07,,,,,,131,,,,,,,,,,2.04,,식품의약품안전처,1322g,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 밀스크린 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,253,,12.5,,,,1.92,,,,,,475,,,,,,,,,,3.85,,식품의약품안전처,832g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 밀스크린 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,247,,10.96,,,,2.74,,,,,,464,,,,,,,,,,3.84,,식품의약품안전처,438g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 밀스크린고구마크러스트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,247,,11.21,,,,4.31,,,,,,436,,,,,,,,,,3.53,,식품의약품안전처,928g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 밀스크린고구마크러스트 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,243,,10.98,,,,3.66,,,,,,426,,,,,,,,,,3.54,,식품의약품안전처,492g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 밀스크린체다크림크러스트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,248,,11.97,,,,4.27,,,,,,515,,,,,,,,,,3.68,,식품의약품안전처,936g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 밀스크린체다크림크러스트 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,243,,10.84,,,,4.82,,,,,,513,,,,,,,,,,3.61,,식품의약품안전처,498g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 밀스크린치즈크러스트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,243,,12.07,,,,2.59,,,,,,478,,,,,,,,,,3.62,,식품의약품안전처,928g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 밀스크린치즈크러스트 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,236,,11.9,,,,2.38,,,,,,473,,,,,,,,,,3.57,,식품의약품안전처,504g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 백미스크린 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,247,,12,,,,5,,,,,,464,,,,,,,,,,3.8,,식품의약품안전처,800g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 백미스크린 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,241,,11.43,,,,5.71,,,,,,456,,,,,,,,,,3.86,,식품의약품안전처,420g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 백미스크린치즈크러스트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,202,,12.5,,,,5.36,,,,,,468,,,,,,,,,,3.66,,식품의약품안전처,896g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 백미스크린치즈크러스트 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,228,,12.2,,,,4.88,,,,,,459,,,,,,,,,,3.66,,식품의약품안전처,492g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 석쇠 (F),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,261,,15.99,,,,3.01,,,,,,181,,,,,,,,,,2.78,,식품의약품안전처,1210g,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 석쇠 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,267,,16.15,,,,2.98,,,,,,192,,,,,,,,,,2.87,,식품의약품안전처,882g(,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 석쇠 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,267,,16.11,,,,2.93,,,,,,190,,,,,,,,,,2.81,,식품의약품안전처,452g(,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 씬 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,255,,13.16,,,,2.63,,,,,,384,,,,,,,,,,6.45,,식품의약품안전처,608g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 씬 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,257,,12.5,,,,1.79,,,,,,377,,,,,,,,,,6.25,,식품의약품안전처,336g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 체다크림크러스트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,245,,11.57,,,,4.96,,,,,,450,,,,,,,,,,3.72,,식품의약품안전처,968g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 체다크림크러스트 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,244,,10.75,,,,4.3,,,,,,445,,,,,,,,,,3.44,,식품의약품안전처,558g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 치즈크러스트 (F),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,262,,16.51,,,,2.7,,,,,,185,,,,,,,,,,3.63,,식품의약품안전처,1340g,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 치즈크러스트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,273,,15.96,,,,2.43,,,,,,167,,,,,,,,,,4.86,,식품의약품안전처,1242g,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 치즈크러스트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,238,,12.4,,,,2.48,,,,,,411,,,,,,,,,,3.64,,식품의약품안전처,968g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 치즈크러스트 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,279,,17.17,,,,2.58,,,,,,175,,,,,,,,,,3.72,,식품의약품안전처,622g(,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 팬 (F),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,269,,16.21,,,,3.05,,,,,,171,,,,,,,,,,2.62,,식품의약품안전처,1310g,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 팬 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,272,,16.25,,,,3,,,,,,183,,,,,,,,,,2.72,,식품의약품안전처,942g(,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 팬 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,247,,11.93,,,,2.75,,,,,,400,,,,,,,,,,3.85,,식품의약품안전처,872g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 팬 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,273,,16.28,,,,2.97,,,,,,181,,,,,,,,,,2.67,,식품의약품안전처,482g(,임실N치즈피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 팬 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,247,,12.05,,,,2.41,,,,,,394,,,,,,,,,,3.61,,식품의약품안전처,498g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 흑미스크린 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,240,,11.88,,,,3.96,,,,,,404,,,,,,,,,,3.86,,식품의약품안전처,808g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 흑미스크린 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,237,,11.43,,,,4.29,,,,,,401,,,,,,,,,,3.86,,식품의약품안전처,420g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 흑미스크린치즈크러스트 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,230,,12.39,,,,3.54,,,,,,414,,,,,,,,,,3.63,,식품의약품안전처,904g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자 흑미스크린치즈크러스트 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,224,,12.2,,,,3.66,,,,,,413,,,,,,,,,,3.66,,식품의약품안전처,492g(,지정환피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자,외식(프랜차이즈 등 업체 제공 영양정,2120,100g,233,,10.74,,,,5.6,,,,,,359,,,,,,,,,,2.18,,식품의약품안전처,880g(,유로코피자,2022-10-30,2023-08-31
피자_슈퍼슈프림피자,외식(프랜차이즈 등 업체 제공 영양정,2120,100g,244,,12.55,,,,3.77,,,,,,458,,,,,,,,,,3.93,,식품의약품안전처,850g(,피자와치킨의러브레터,2022-10-30,2023-08-31
피자_슈퍼치즈피자,외식(프랜차이즈 등 업체 제공 영양정,2120,100g,282,,17.64,,,,2.78,,,,,,373,,,,,,,,,,3.88,,식품의약품안전처,816g(,유로코피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 골드스윗 (G),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,293,,15.43,,,,3.7,,,,,,419,,,,,,,,,,6.79,,식품의약품안전처,1624g,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 골드스윗 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,292,,15.45,,,,3.64,,,,,,417,,,,,,,,,,7.27,,식품의약품안전처,878g(,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 골드스윗 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,291,,15.24,,,,3.66,,,,,,415,,,,,,,,,,6.71,,식품의약품안전처,655g(,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 리코타링 (G),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,295,,15.65,,,,2.72,,,,,,465,,,,,,,,,,6.8,,식품의약품안전처,1469g,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 리코타링 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,294,,15.74,,,,3.05,,,,,,465,,,,,,,,,,7.11,,식품의약품안전처,788g(,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 리코타링 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,295,,16.22,,,,3.38,,,,,,468,,,,,,,,,,6.76,,식품의약품안전처,590g(,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 밀도우 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,113,,7.63,,,,0.93,,,,,,257,,,,,,,,,,3.02,,식품의약품안전처,860g(,피자파는집,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 밀도우 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,75,,5.07,,,,0.63,,,,,,171,,,,,,,,,,2,,식품의약품안전처,540g(,피자파는집,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 석쇠 (G),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,291,,16.28,,,,2.33,,,,,,434,,,,,,,,,,5.43,,식품의약품안전처,1289g,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 석쇠 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,291,,16.28,,,,2.33,,,,,,434,,,,,,,,,,5.81,,식품의약품안전처,688g(,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 석쇠 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,291,,16.41,,,,2.34,,,,,,434,,,,,,,,,,5.47,,식품의약품안전처,510g(,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 씬도우 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,308,,16.78,,,,2.8,,,,,,469,,,,,,,,,,7.69,,식품의약품안전처,571g(,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 씬도우 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,113,,7.63,,,,0.94,,,,,,257,,,,,,,,,,3.02,,식품의약품안전처,650g(,피자파는집,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 씬도우 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,295,,16.07,,,,3.57,,,,,,462,,,,,,,,,,8.04,,식품의약품안전처,448g(,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 씬도우 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,75,,5.08,,,,0.63,,,,,,171,,,,,,,,,,2.01,,식품의약품안전처,440g(,피자파는집,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 오리지널 (M),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,301,,14.13,,,,5.43,,,,,,420,,,,,,,,,,3.26,,식품의약품안전처,550g(,비스트로피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 치즈링 (G),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,284,,17.22,,,,1.99,,,,,,494,,,,,,,,,,5.96,,식품의약품안전처,1509g,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 치즈링 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,284,,16.83,,,,1.98,,,,,,496,,,,,,,,,,5.94,,식품의약품안전처,808g(,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자 치즈링 (R),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,283,,16.99,,,,1.96,,,,,,502,,,,,,,,,,5.88,,식품의약품안전처,610g(,7번가피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자,외식(프랜차이즈 등 업체 제공 영양정,2120,100g,244,,10.92,,,,4.26,,,,,,392,,,,,,,,,,3.95,,식품의약품안전처,272g(,고피자,2022-10-30,2023-08-31
피자_슈퍼콤비네이션피자,외식(프랜차이즈 등 업체 제공 영양정,2120,100g,254,,13.27,,,,1.53,,,,,,394,,,,,,,,,,4.08,,식품의약품안전처,1570g,빅스타피자,2022-10-30,2023-08-31
피자_슈프림콤비피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,240,,11.31,,,,6.19,,,,,,280,,,,,,,,,,3.29,,식품의약품안전처,800g(,뽕뜨락피자,2022-10-30,2023-08-31
피자_슈프림콤비피자 (M),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,252,,12.74,,,,6.45,,,,,,276,,,,,,,,,,3.94,,식품의약품안전처,492g(,뽕뜨락피자,2022-10-30,2023-08-31
피자_슈프림피자 (XL),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,290,,20.5,,,,3.2,,,,,,461,,,,,,,,,,4,,식품의약품안전처,1072g,봉수아피자,2022-10-30,2023-08-31
피자_스나이퍼피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,232,,10.4,,,,7.32,,,,,,349,,,,,,,,,,3.41,,식품의약품안전처,1219g,피제이피자,2022-10-30,2023-08-31
피자_스노우고구마피자,외식(프랜차이즈 등 업체 제공 영양정,2120,100g,256,,12.06,,,,6.67,,,,,,506,,,,,,,,,,3.43,,식품의약품안전처,957g(,피자와치킨의러브레터,2022-10-30,2023-08-31
피자_스리라차 슈림프 피자,외식(프랜차이즈 등 업체 제공 영양정,2120,100g,250,,8.01,,,,7.45,,,,,,405,,,,,,,,,,2.93,,식품의약품안전처,397g(,고피자,2022-10-30,2023-08-31
피자_스위트고구마무스피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,289,,9.45,,,,8,,,,,,255,,,,,,,,,,3.87,,식품의약품안전처,803g(,피굽남피자,2022-10-30,2023-08-31
피자_스위트고구마피자 오리지널 (M),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,256,,11.5,,,,6.19,,,,,,349,,,,,,,,,,3.54,,식품의약품안전처,680g(,비스트로피자,2022-10-30,2023-08-31
피자_스위트골드피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,209,,13.93,,,,6.47,,,,,,456,,,,,,,,,,2.49,,식품의약품안전처,802g(,오구쌀피자,2022-10-30,2023-08-31
피자_스위트불고기피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,247,,14,,,,5.33,,,,,,769,,,,,,,,,,4,,식품의약품안전처,712g(,피자나라치킨공주,2022-10-30,2023-08-31
피자_스위트큐브피자 (L),외식(프랜차이즈 등 업체 제공 영양정,2120,100g,249,,10.71,,,,4.93,,,,,,274,,,,,,,,,,4.14,,식품의약품안전처,1120g,비토랩,2022-10-30,2023-08-31
